datetime,LN,lai,Icsun,Icsh,laisun,laish,sunhgt,aAn,bAn,leaf,assim,assimSum,dvs
2017-10-05 19:00:00,14.0390181502217,0.17955335236533054,0.12800081154172482,0.062390016339769004,0.11848537669781078,0.06106797566751976,0.05,-1.4103874575849442,-1.4151862876712098,1.0858139492298853,-0.02738154790609194,-0.04244968207110147,0.4685229884662142
2017-10-05 20:00:00,14.09132336200947,0.17955335236533054,0.01828583022024639,0.008912859477109857,0.11848537669781078,0.06106797566751976,0.05,-1.329999631752119,-1.3306897550030385,1.0858139492298853,-0.025795587991209422,-0.06824527006231089,0.4698622357396449
2017-10-05 21:00:00,14.14314911957715,0.17955335236533054,0.01828583022024639,0.008912859477109857,0.11848537669781078,0.06106797566751976,0.05,-1.258301920452421,-1.2589957269577985,1.0858139492298853,-0.024405267326085438,-0.09265053738839632,0.4712165856469859
2017-10-05 22:00:00,14.194880788387854,0.17955335236533054,0.01828583022024639,0.008912859477109857,0.11848537669781078,0.06106797566751976,0.05,-1.2467057268920274,-1.2474001445817118,1.0858139492298853,-0.024180400730782422,-0.11683093811917875,0.47257323976737364
2017-10-05 23:00:00,14.24584324333007,0.17955335236533054,0.01828583022024639,0.008912859477109857,0.11848537669781078,0.06106797566751976,0.05,-1.1682581490352881,-1.1689568216920088,1.0858139492298853,-0.022659192030117827,-0.13949013014929657,0.4739441209101277
2017-10-06 00:00:00,14.295996389077846,0.17955335236533054,0.0,0.0,0.11848537669781078,0.06106797566751976,0.05,-1.1060475064958923,-1.1060475064958923,1.0858139492298853,-0.021448210067998436,-0.160938340217295,0.4753242478022585
2017-10-06 01:00:00,14.346293807598487,0.17955335236533054,0.0,0.0,0.11848537669781078,0.06106797566751976,0.05,-1.1164158480917705,-1.1164158480917705,1.0858139492298853,-0.02164927048113539,-0.18258761069843038,0.47670303996945473
2017-10-06 02:00:00,14.397130841777948,0.17955335236533054,0.01828583022024639,0.008912859477109857,0.11848537669781078,0.06106797566751976,0.05,-1.1574316621355798,-1.1581309391539145,1.0858139492298853,-0.022449251358233332,-0.20503686205666372,0.47807566240792193
2017-10-06 03:00:00,14.448862510588652,0.17955335236533054,0.01828583022024639,0.008912859477109857,0.11848537669781078,0.06106797566751976,0.05,-1.2467057268920274,-1.2474001445817118,1.0858139492298853,-0.024180400730782422,-0.22921726278744614,0.4794323165283097
2017-10-06 04:00:00,14.500778341482565,0.17955335236533054,0.01828583022024639,0.008912859477109857,0.11848537669781078,0.06106797566751976,0.05,-1.2699977756181513,-1.2706909701469304,1.0858139492298853,-0.02463206653029977,-0.2538493293177459,0.48078429893995256
