datetime,doy,dap,hour,LN,lai,Icsun,Icsh,laisun,laish,sunhgt,aAn,bAn,leaf,assim,assimSum,dvs
2017-12-06 04:00:00,340,77.0,4,71.46346152442995,3.796608658033862,0.0,0.0,0.1999166759524439,3.5966919820814183,0.05,-0.3042248158610627,-0.3042248158610627,85.52736284148187,-0.12474243754778173,883.1390264462908,1.2839266932030535
2017-12-06 05:00:00,340,77.0,5,71.47439779844217,3.796608658033862,0.0,0.0,0.1999166759524439,3.5966919820814183,0.05,-0.31370963982127326,-0.31370963982127326,85.52310607017016,-0.12863153534264607,883.0103949109482,1.283983929726499
2017-12-06 06:00:00,340,77.0,6,71.48604263814549,3.796608658033862,0.0,0.0,0.1999166759524439,3.5966919820814183,0.05,-0.3201847649681823,-0.3201847649681823,85.51884891299794,-0.13128655509166373,882.8791083558565,1.2840488280406026
2017-12-06 07:00:00,340,77.0,7,71.49840238681197,3.796608658033862,0.0,0.0,0.1999166759524439,3.5966919820814183,0.05,-0.32678392149881674,-0.32678392149881674,85.51459132255913,-0.13399243189221588,882.7451159239642,1.2841216856166404
2017-12-06 08:00:00,340,77.0,8,71.51257243837046,3.796608658033862,3.2666765310692547,3.807022289291812,0.5453485576886106,3.2512601003452515,0.13689445680274637,-0.08116276277290757,-0.038463624243180505,85.51033317443292,-0.018286262182737333,882.7268296617815,1.2842154438205113
2017-12-06 09:00:00,340,77.0,9,71.52820894851043,3.796608658033862,25.21110869212023,6.344071820087716,1.11297883378286,2.683629824251002,0.2932729541334811,1.4792936265162695,0.14420140399408926,85.50607436495682,0.21960781384174927,882.9464374756233,1.2843265978978637
2017-12-06 10:00:00,340,77.0,10,71.5464353478327,3.796608658033862,92.65659231579102,13.623738287503489,1.467753214991469,2.328855443042393,0.41828748970244756,4.626981976912894,0.6592302716265575,85.50181470995683,0.8992641252906692,883.8457016009139,1.2844686561042402
2017-12-06 11:00:00,340,77.0,11,71.57241441938565,3.796608658033862,470.17721131582454,58.844852015031854,1.6537798332203806,2.1428288248134812,0.5004428236356335,8.555719641459644,3.3358753004976522,85.49755369892688,2.3001285259753024,886.1458301268892,1.2846963677769214
2017-12-06 12:00:00,340,77.0,12,71.60405695857595,3.796608658033862,542.7312185758549,65.6117076748824,1.7114458779307797,2.085162780103082,0.5292936934483548,9.577763774801769,3.6551384029450897,85.49329103082874,2.593445351701581,888.7392754785908,1.2849744346745346
2017-12-06 13:00:00,340,77.0,13,71.63501044188328,3.796608658033862,522.5244926079455,65.39635631359936,1.6537798332203806,2.1428288248134812,0.5004428236356335,9.429659506509319,3.6478978777630955,85.48902673699561,2.5284313564322374,891.2677068350231,1.2852470336394826
